iter	MultiClass
0	1.089628646
1	1.081725771
2	1.076709704
3	1.068543492
4	1.063002472
5	1.05510274
6	1.050236545
7	1.045751849
8	1.040632191
9	1.037089745
10	1.033607942
11	1.031573061
12	1.027523656
13	1.024883047
14	1.023609661
15	1.020811981
16	1.017900845
17	1.015468661
18	1.014097764
19	1.01296509
20	1.010463093
21	1.00864562
22	1.00641911
23	1.00420355
24	1.002724974
25	1.001164941
26	0.999507094
27	0.9987054332
28	0.9970654692
29	0.9955186248
30	0.9931549788
31	0.9920009115
32	0.9901864117
33	0.9884357736
34	0.987407914
35	0.9859383259
36	0.9843380858
37	0.9833519723
38	0.9821207893
39	0.980909112
40	0.9795368909
41	0.9784436093
42	0.9774755282
43	0.9762356014
44	0.9750180345
45	0.9740079447
46	0.9726797772
47	0.9716620166
48	0.9703293162
49	0.9690112199
50	0.9682737551
51	0.9669886026
52	0.9660293818
53	0.9651902135
54	0.9642039539
55	0.9633247466
56	0.9626002827
57	0.9618973121
58	0.9610846799
59	0.9602342
60	0.9594852173
61	0.9582305082
62	0.9574473389
63	0.9567682187
64	0.9563163838
65	0.9549614883
66	0.9539759327
67	0.9533515672
68	0.9525782054
69	0.9519590514
70	0.9511174391
71	0.9501108728
72	0.9494397555
73	0.948684834
74	0.9480211155
75	0.9471610488
76	0.9461942735
77	0.9452377569
78	0.9442891766
79	0.9433422709
80	0.9424904766
81	0.9418049766
82	0.94138439
83	0.9402044469
84	0.9395167177
85	0.9390440618
86	0.938117338
87	0.9370507327
88	0.9361726441
89	0.935673745
90	0.9347053056
91	0.9339099245
92	0.933022296
93	0.932293468
94	0.9312474198
95	0.9306349667
96	0.9298479735
97	0.9286288325
98	0.9280293979
99	0.9271581555
100	0.9265421352
101	0.9258181272
102	0.9249645204
103	0.9234877995
104	0.9225181018
105	0.9216677524
106	0.9208119697
107	0.9201001404
108	0.9188889447
109	0.9180750035
110	0.9173456675
111	0.9159497013
112	0.9150516374
113	0.9139419225
114	0.9130776949
115	0.9122088688
116	0.9111056187
117	0.9104086264
118	0.9094482356
119	0.9085435235
120	0.9078175987
121	0.9066434381
122	0.9059024241
123	0.904932593
124	0.9039293517
125	0.9028497791
126	0.9020043855
127	0.9013704739
128	0.9005786416
129	0.8997399267
130	0.898981412
131	0.8978827971
132	0.89730338
133	0.8964790947
134	0.8957185463
135	0.8949835823
136	0.8940787898
137	0.8933079231
138	0.8924188615
139	0.8916745147
140	0.8908123771
141	0.8898714266
142	0.8890571764
143	0.8883764121
144	0.8876332899
145	0.8867799968
146	0.8858595577
147	0.8850273439
148	0.8844984398
149	0.8837166213
150	0.8828343308
151	0.8821780854
152	0.8815392924
153	0.8804804305
154	0.8799282196
155	0.8793009854
156	0.8787679542
157	0.8780890075
158	0.8772423119
159	0.8763416497
160	0.8755943363
161	0.8748978415
162	0.8741533001
163	0.8735603666
164	0.8728920618
165	0.8723391774
166	0.8716067124
167	0.8709134199
168	0.8705635805
169	0.8696812886
170	0.8692848249
171	0.8687400653
172	0.8679782717
173	0.8670563702
174	0.8663026063
175	0.8654793707
176	0.8647176319
177	0.8641421021
178	0.8637216465
179	0.8631805854
180	0.8626293756
181	0.8621160904
182	0.8614629172
183	0.8605344214
184	0.8598636779
185	0.8593763377
186	0.8587016359
187	0.8581652483
188	0.8576971524
189	0.8570988772
190	0.8563683709
191	0.8557588896
