iter	Passed	Remaining
0	81	81140
1	99	49441
2	116	38781
3	134	33556
4	153	30574
5	174	28830
6	191	27205
7	209	26017
8	228	25107
9	246	24367
10	263	23709
11	281	23147
12	299	22705
13	317	22353
14	336	22102
15	355	21876
16	373	21621
17	393	21467
18	414	21379
19	431	21162
20	449	20970
21	467	20780
22	485	20614
23	502	20448
24	521	20320
25	543	20360
26	569	20539
27	594	20637
28	618	20714
29	642	20765
30	662	20720
31	684	20709
32	704	20658
33	724	20589
34	746	20587
35	767	20559
36	788	20535
37	809	20484
38	830	20475
39	850	20414
40	870	20358
41	889	20282
42	907	20195
43	925	20118
44	944	20037
45	961	19941
46	979	19868
47	997	19775
48	1014	19697
49	1033	19634
50	1052	19593
51	1074	19590
52	1095	19566
53	1114	19529
54	1134	19499
55	1153	19441
56	1171	19377
57	1188	19310
58	1206	19249
59	1224	19187
60	1243	19138
61	1264	19135
62	1283	19087
63	1301	19040
64	1321	19009
65	1340	18971
66	1361	18955
67	1383	18966
68	1402	18928
69	1422	18901
70	1445	18908
71	1465	18890
72	1489	18915
73	1511	18908
74	1532	18897
75	1553	18886
76	1574	18873
77	1596	18866
78	1616	18843
79	1635	18804
80	1654	18775
81	1673	18735
82	1695	18728
83	1714	18696
84	1733	18659
85	1751	18610
86	1768	18562
87	1786	18514
88	1804	18468
89	1821	18418
90	1839	18376
91	1858	18344
92	1878	18319
93	1899	18305
94	1920	18299
95	1940	18271
96	1961	18263
97	1982	18251
98	2003	18230
99	2024	18216
100	2044	18195
101	2063	18170
102	2084	18153
103	2104	18133
104	2131	18165
105	2152	18156
106	2173	18136
107	2193	18116
108	2212	18083
109	2229	18042
110	2247	17996
111	2264	17954
112	2284	17935
113	2304	17911
114	2325	17892
115	2343	17855
116	2361	17825
117	2379	17785
118	2396	17743
119	2415	17710
120	2433	17680
121	2452	17647
122	2471	17619
123	2490	17597
124	2511	17577
125	2531	17561
126	2550	17529
127	2569	17507
128	2589	17481
129	2609	17461
130	2629	17442
131	2648	17417
132	2668	17398
133	2690	17385
134	2712	17381
135	2733	17367
136	2756	17366
137	2783	17386
138	2805	17375
139	2824	17350
140	2844	17327
141	2862	17297
142	2881	17266
143	2900	17239
144	2918	17206
145	2938	17188
146	2957	17164
147	2976	17134
148	2993	17097
149	3011	17065
150	3030	17039
151	3048	17005
152	3065	16971
153	3084	16943
154	3101	16909
155	3119	16876
156	3138	16852
157	3158	16829
158	3176	16802
159	3194	16772
160	3213	16746
161	3231	16716
162	3248	16682
163	3266	16651
164	3284	16622
165	3303	16596
166	3324	16583
167	3344	16563
168	3364	16543
169	3383	16520
170	3401	16491
171	3419	16463
172	3437	16434
173	3457	16412
174	3475	16382
175	3492	16351
176	3510	16321
177	3527	16292
178	3548	16276
179	3569	16259
180	3587	16234
181	3606	16208
182	3624	16180
183	3642	16153
184	3660	16125
185	3677	16094
186	3694	16062
187	3712	16033
188	3730	16006
189	3750	15986
190	3770	15970
191	3789	15946
192	3809	15927
193	3827	15902
194	3846	15878
195	3863	15849
196	3881	15821
197	3898	15792
198	3916	15765
199	3934	15739
200	3954	15719
201	3973	15696
202	3992	15673
203	4009	15646
204	4028	15621
205	4045	15592
206	4062	15563
207	4079	15534
208	4097	15505
209	4114	15478
210	4133	15456
211	4154	15441
212	4182	15453
213	4199	15424
214	4216	15396
215	4234	15370
216	4252	15344
217	4270	15317
218	4287	15289
219	4304	15260
220	4321	15233
221	4340	15209
222	4358	15186
223	4377	15166
224	4396	15143
225	4413	15115
226	4431	15089
227	4449	15064
228	4466	15036
229	4483	15008
230	4500	14981
231	4517	14953
232	4534	14927
233	4553	14905
234	4573	14888
235	4592	14867
236	4610	14842
237	4627	14816
238	4645	14791
239	4662	14763
240	4679	14738
241	4697	14712
242	4714	14685
243	4731	14659
244	4749	14635
245	4767	14613
246	4786	14592
247	4805	14571
248	4823	14546
249	4840	14522
250	4859	14501
251	4877	14478
252	4896	14456
253	4914	14435
254	4932	14410
255	4949	14384
256	4967	14360
257	4985	14337
258	5004	14318
259	5025	14302
260	5043	14280
261	5061	14256
262	5079	14233
263	5098	14213
264	5117	14192
265	5135	14170
266	5154	14149
267	5171	14125
268	5190	14105
269	5209	14085
270	5230	14070
271	5249	14050
272	5268	14029
273	5286	14007
274	5306	13990
275	5324	13968
276	5342	13944
277	5360	13922
278	5378	13899
279	5396	13876
280	5413	13852
281	5433	13834
282	5452	13814
283	5469	13790
284	5487	13767
285	5505	13743
286	5522	13720
287	5540	13696
288	5558	13676
289	5576	13653
290	5595	13632
291	5613	13610
292	5633	13593
293	5653	13576
294	5673	13558
295	5691	13536
296	5710	13515
297	5728	13495
298	5747	13474
299	5766	13455
300	5784	13433
301	5802	13410
302	5820	13389
303	5838	13367
304	5858	13349
305	5877	13329
306	5896	13309
307	5916	13292
308	5937	13277
309	5958	13262
310	5979	13247
311	6000	13231
312	6020	13214
313	6041	13198
314	6062	13182
315	6083	13168
316	6104	13153
317	6125	13136
318	6145	13120
319	6165	13101
320	6185	13084
321	6205	13065
322	6224	13045
323	6243	13026
324	6265	13012
325	6286	12997
326	6306	12979
327	6325	12959
328	6346	12943
329	6366	12925
330	6385	12906
331	6405	12888
332	6424	12868
333	6443	12848
334	6463	12830
335	6484	12814
336	6505	12797
337	6523	12776
338	6540	12753
339	6558	12731
340	6575	12708
341	6595	12689
342	6613	12667
343	6633	12650
344	6652	12631
345	6672	12612
346	6694	12597
347	6711	12575
348	6729	12552
349	6748	12532
350	6766	12510
351	6785	12491
352	6804	12472
353	6823	12451
354	6843	12434
355	6864	12417
356	6883	12398
357	6903	12380
358	6924	12363
359	6943	12344
360	6963	12326
361	6983	12307
362	7003	12289
363	7023	12271
364	7043	12253
365	7064	12237
366	7084	12218
367	7107	12205
368	7126	12186
369	7146	12167
370	7165	12149
371	7184	12128
372	7202	12107
373	7220	12086
374	7239	12066
375	7260	12048
376	7280	12030
377	7300	12013
378	7321	11997
379	7340	11976
